compound_name,smiles,wavenumber_cm1,transmittance
ethanol,CCO,400.0,0.016702
ethanol,CCO,414.46,0.016702
ethanol,CCO,428.92,0.016702
ethanol,CCO,443.37,0.016702
ethanol,CCO,457.83,0.050324
ethanol,CCO,472.29,0.023053
ethanol,CCO,486.75,0.016318
ethanol,CCO,501.2,0.0207
ethanol,CCO,515.66,0.012546
ethanol,CCO,530.12,0.009162
ethanol,CCO,544.58,0.009617
ethanol,CCO,559.04,0.011593
ethanol,CCO,573.49,0.013249
ethanol,CCO,587.95,0.014985
ethanol,CCO,602.41,0.014378
ethanol,CCO,616.87,0.014253
ethanol,CCO,631.33,0.016906
ethanol,CCO,645.78,0.006566
ethanol,CCO,660.24,0.013828
ethanol,CCO,674.7,0.003332
ethanol,CCO,689.16,0.011038
ethanol,CCO,703.61,0.008559
ethanol,CCO,718.07,0.009735
ethanol,CCO,732.53,0.003425
ethanol,CCO,746.99,0.009441
ethanol,CCO,761.45,0.011067
ethanol,CCO,775.9,0.014502
ethanol,CCO,790.36,0.024518
ethanol,CCO,804.82,0.031836
ethanol,CCO,819.28,0.033987
ethanol,CCO,833.73,0.040745
ethanol,CCO,848.19,0.067534
ethanol,CCO,862.65,0.136655
ethanol,CCO,877.11,0.141
ethanol,CCO,891.57,0.159172
ethanol,CCO,906.02,0.151754
ethanol,CCO,920.48,0.082076
ethanol,CCO,934.94,0.083339
ethanol,CCO,949.4,0.094692
ethanol,CCO,963.86,0.103339
ethanol,CCO,978.31,0.119837
ethanol,CCO,992.77,0.193944
ethanol,CCO,1007.23,0.348775
ethanol,CCO,1021.69,0.51482
ethanol,CCO,1036.14,0.814478
ethanol,CCO,1050.6,1.062261
ethanol,CCO,1065.06,1.111752
ethanol,CCO,1079.52,0.962292
ethanol,CCO,1093.98,0.564125
ethanol,CCO,1108.43,0.377327
ethanol,CCO,1122.89,0.222732
ethanol,CCO,1137.35,0.162558
ethanol,CCO,1151.81,0.143765
ethanol,CCO,1166.27,0.128203
ethanol,CCO,1180.72,0.123858
ethanol,CCO,1195.18,0.135013
ethanol,CCO,1209.64,0.183635
ethanol,CCO,1224.1,0.262043
ethanol,CCO,1238.55,0.249379
ethanol,CCO,1253.01,0.278275
ethanol,CCO,1267.47,0.224149
ethanol,CCO,1281.93,0.142903
ethanol,CCO,1296.39,0.108418
ethanol,CCO,1310.84,0.099383
ethanol,CCO,1325.3,0.104775
ethanol,CCO,1339.76,0.128331
ethanol,CCO,1354.22,0.189355
ethanol,CCO,1368.67,0.310616
ethanol,CCO,1383.13,0.380056
ethanol,CCO,1397.59,0.37668
ethanol,CCO,1412.05,0.357535
ethanol,CCO,1426.51,0.185893
ethanol,CCO,1440.96,0.134428
ethanol,CCO,1455.42,0.139085
ethanol,CCO,1469.88,0.099243
ethanol,CCO,1484.34,0.07934
ethanol,CCO,1498.8,0.059331
ethanol,CCO,1513.25,0.036885
ethanol,CCO,1527.71,0.021477
ethanol,CCO,1542.17,0.013998
ethanol,CCO,1556.63,0.010442
ethanol,CCO,1571.08,0.006272
ethanol,CCO,1585.54,0.003597
ethanol,CCO,1600.0,0.003083
ethanol,CCO,1614.46,0.004846
ethanol,CCO,1628.92,0.002394
ethanol,CCO,1643.37,0.003711
ethanol,CCO,1657.83,0.006042
ethanol,CCO,1672.29,0.002944
ethanol,CCO,1686.75,0.007768
ethanol,CCO,1701.2,0.008882
ethanol,CCO,1715.66,0.010582
ethanol,CCO,1730.12,0.015785
ethanol,CCO,1744.58,0.010039
ethanol,CCO,1759.04,0.006057
ethanol,CCO,1773.49,0.00671
ethanol,CCO,1787.95,0.004886
ethanol,CCO,1802.41,0.004665
ethanol,CCO,1816.87,0.005575
ethanol,CCO,1831.33,0.005712
ethanol,CCO,1845.78,0.007901
ethanol,CCO,1860.24,0.009725
ethanol,CCO,1874.7,0.012717
ethanol,CCO,1889.16,0.017451
ethanol,CCO,1903.61,0.021751
ethanol,CCO,1918.07,0.025668
ethanol,CCO,1932.53,0.026656
ethanol,CCO,1946.99,0.022958
ethanol,CCO,1961.45,0.016715
ethanol,CCO,1975.9,0.013532
ethanol,CCO,1990.36,0.011475
ethanol,CCO,2004.82,0.009582
ethanol,CCO,2019.28,0.007658
ethanol,CCO,2033.73,0.006315
ethanol,CCO,2048.19,0.00542
ethanol,CCO,2062.65,0.002578
ethanol,CCO,2077.11,0.003886
ethanol,CCO,2091.57,0.00289
ethanol,CCO,2106.02,0.004151
ethanol,CCO,2120.48,0.004302
ethanol,CCO,2134.94,0.004293
ethanol,CCO,2149.4,0.002931
ethanol,CCO,2163.86,0.003131
ethanol,CCO,2178.31,0.003501
ethanol,CCO,2192.77,0.003803
ethanol,CCO,2207.23,0.002553
ethanol,CCO,2221.69,0.002466
ethanol,CCO,2236.14,0.002638
ethanol,CCO,2250.6,0.003027
ethanol,CCO,2265.06,0.003713
ethanol,CCO,2279.52,0.003993
ethanol,CCO,2293.98,0.003251
ethanol,CCO,2308.43,0.001482
ethanol,CCO,2322.89,0.00061
ethanol,CCO,2337.35,0.001893
ethanol,CCO,2351.81,0.001124
ethanol,CCO,2366.27,0.005821
ethanol,CCO,2380.72,0.006564
ethanol,CCO,2395.18,0.004445
ethanol,CCO,2409.64,0.006064
ethanol,CCO,2424.1,0.005381
ethanol,CCO,2438.55,0.004805
ethanol,CCO,2453.01,0.003894
ethanol,CCO,2467.47,0.004502
ethanol,CCO,2481.93,0.00436
ethanol,CCO,2496.39,0.004191
ethanol,CCO,2510.84,0.003646
ethanol,CCO,2525.3,0.00269
ethanol,CCO,2539.76,0.002502
ethanol,CCO,2554.22,0.002778
ethanol,CCO,2568.67,0.003888
ethanol,CCO,2583.13,0.005556
ethanol,CCO,2597.59,0.007172
ethanol,CCO,2612.05,0.008981
ethanol,CCO,2626.51,0.011576
